dataset_name,image_index,pred,gt,PL
SVTP,32,GM,CITY,CITY
CUTE80,264,O,to,to
IC15_1811,600,300,food,food
SVTP,638,Lim,Little,Little
SVT,589,CIS,cvs,cvs
IC15_1811,323,baczfliwittport,TEN,
IC15_1811,1572,HoBai7,HOBBIT,HOBBIT
IC15_1811,410,dlgonLotal,aigonLotus,aigonLotus
SVTP,476,PAn,DAN,DAN
IC15_1811,916,glane,GIANT,GIANT
IC15_1811,1446,Seassed,seas,seas
IIIT5k,745,Pau!,Day,Day
IC15_1811,280,Toney's,Tonajs,Tony's
IC15_1811,676,SNGE,SALE,SALE
IC13_857,25,INKHEN,GASTRONOMY,GASTRONOMY
SVTP,38,PUE,FZU,
IC15_1811,985,BLACKTRE-BEAUX,Tvo,
IC15_1811,472,MARBA,HARA,MARBA
SVT,536,Tabo,Tabu,Tabu
IIIT5k,2007,mah,MAN,MAN
IC15_1811,574,pape,place,place
IC15_1811,689,Stip,strip,strip
IC15_1811,1309,BALE,SALE,SALE
IIIT5k,1592,Menuboaml,Menuboard,Menuboard
IC15_1811,20,BEROBIJ,AIROB,
IC15_1811,366,MPT,MRT,
IIIT5k,530,OSCON,oscar,oscar
SVTP,453,PPACHETTI,SPAGHETTI,SPAGHETTI
IC15_1811,1076,Compotte,poix,
IIIT5k,746,Preaner,Dreamer,Dreamer
SVT,219,One,Inc,Inc
IC15_1811,684,BRITISHI.,BRITISH,BRITISH
SVT,60,ANAFEIM,ANAHEIM,ANAHEIM
IC15_1811,1166,MoaRteN,MAARteN,MoaRteN
IC13_857,635,GUEVER,CULVER,CULVER
IC15_1811,844,BETTIES,STHES,
IC15_1811,1441,CHYBU,CHABU,CHABU
IC15_1811,1052,SHAROVATEL,SWAROVSKI,SWAROVSKI
SVTP,402,JOLLERY,GALLERY,GALLERY
IC15_1811,599,phoe,place,place
IC15_1811,1270,CBN,CEN,
CUTE80,87,CelebraZion!,Celebrating,Celebrating
SVTP,464,PAR,PAK,PAK
IC15_1811,352,motonsFilePenSTMARCCATE,CARE,
IC15_1811,168,ZOHY,ZONY,ZOXY
IC15_1811,941,CRYSTOL,CRYSTAL,CRYSTAL
IC15_1811,602,Chinne,chimney,Chimney
IC15_1811,1191,TSG,TSC,TSC
IC15_1811,372,STAGHE,TAGH,TAGHE
IC15_1811,1771,CREAVERY,CREAME,CREAMERY
IC15_1811,641,G2OC,G20,G200
IC15_1811,1378,PINGETY,CITY,CITY
SVTP,83,Book,Rock,Rock
IC15_1811,266,CHOO,CHO,CHO
